epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1330.64,0.49663,0.37994,0.88264,0.96126,0.89331,0.92998,0.84089,0.47906,0.42598,0.86702,0.0006469,0.0006469,0.0006469
109,1343.15,0.49729,0.38573,0.89268,0.96258,0.89162,0.91949,0.83261,0.50329,0.43349,0.88578,0.0006436,0.0006436,0.0006436
110,1353.83,0.51101,0.38621,0.89623,0.96349,0.8862,0.92678,0.83367,0.50387,0.42267,0.87911,0.0006403,0.0006403,0.0006403
111,1364.55,0.468,0.37337,0.88428,0.95983,0.91263,0.93356,0.83548,0.50454,0.40398,0.88032,0.000637,0.000637,0.000637
112,1375.62,0.48622,0.38718,0.88327,0.96583,0.9001,0.92653,0.83208,0.48529,0.40613,0.87316,0.0006337,0.0006337,0.0006337
113,1385.55,0.50481,0.39639,0.89855,0.97747,0.88259,0.92868,0.84013,0.5046,0.39347,0.88724,0.0006304,0.0006304,0.0006304
114,1396.89,0.51546,0.40262,0.89938,0.98487,0.8948,0.9338,0.84558,0.46117,0.4012,0.86498,0.0006271,0.0006271,0.0006271
115,1413.93,0.50121,0.38474,0.89769,0.95415,0.8825,0.92135,0.83278,0.48556,0.40773,0.88381,0.0006238,0.0006238,0.0006238
116,1427.75,0.49488,0.3817,0.89297,0.94341,0.89342,0.9226,0.82641,0.48852,0.4142,0.88686,0.0006205,0.0006205,0.0006205
117,1439.48,0.48735,0.37701,0.88455,0.96421,0.86979,0.90453,0.80849,0.53651,0.47381,0.89498,0.0006172,0.0006172,0.0006172
118,1450.97,0.49428,0.37583,0.89707,0.97044,0.89782,0.92799,0.83766,0.47963,0.38854,0.87288,0.0006139,0.0006139,0.0006139
119,1462.05,0.49547,0.37221,0.89739,0.98037,0.91723,0.9298,0.84599,0.45136,0.38132,0.85285,0.0006106,0.0006106,0.0006106
120,1472.85,0.48384,0.37079,0.88934,0.96311,0.89052,0.92588,0.83798,0.48625,0.39279,0.87782,0.0006073,0.0006073,0.0006073
121,1483.35,0.47342,0.37444,0.8865,0.96839,0.89588,0.93025,0.84692,0.48907,0.42399,0.88182,0.000604,0.000604,0.000604
122,1495.82,0.47639,0.36038,0.87885,0.94503,0.89287,0.92794,0.84545,0.47056,0.40393,0.87517,0.0006007,0.0006007,0.0006007
123,1508.19,0.45929,0.35482,0.87453,0.96722,0.89305,0.92807,0.85333,0.46412,0.38875,0.86627,0.0005974,0.0005974,0.0005974
124,1519.51,0.48781,0.37357,0.89212,0.97785,0.88393,0.92164,0.84212,0.47248,0.42712,0.8595,0.0005941,0.0005941,0.0005941
125,1531.25,0.48196,0.37195,0.87952,0.97848,0.88636,0.92714,0.84714,0.45331,0.40354,0.85418,0.0005908,0.0005908,0.0005908
126,1542.64,0.47761,0.36348,0.88044,0.97046,0.89427,0.93736,0.84732,0.48303,0.40837,0.86823,0.0005875,0.0005875,0.0005875
127,1554.96,0.47712,0.35963,0.88614,0.97612,0.9095,0.93566,0.85481,0.45927,0.38825,0.85501,0.0005842,0.0005842,0.0005842
128,1566.23,0.4866,0.37018,0.88052,0.96123,0.87785,0.92816,0.85105,0.45483,0.40931,0.8629,0.0005809,0.0005809,0.0005809
129,1576.62,0.48104,0.3725,0.88547,0.9747,0.89599,0.92536,0.83918,0.46709,0.40526,0.85979,0.0005776,0.0005776,0.0005776
130,1589,0.47017,0.36437,0.88621,0.98479,0.89126,0.92597,0.84458,0.4621,0.41897,0.86275,0.0005743,0.0005743,0.0005743
131,1599.88,0.48329,0.36705,0.89082,0.96871,0.90879,0.93216,0.85366,0.46375,0.39246,0.8707,0.000571,0.000571,0.000571
132,1610.32,0.47903,0.36506,0.8896,0.99149,0.89172,0.93716,0.85417,0.45639,0.38737,0.84821,0.0005677,0.0005677,0.0005677
133,1620.49,0.46543,0.35964,0.87434,0.96682,0.89592,0.92837,0.84494,0.47548,0.39407,0.87088,0.0005644,0.0005644,0.0005644
134,1631.27,0.4742,0.35649,0.88464,0.97504,0.88954,0.93267,0.84462,0.46831,0.38601,0.852,0.0005611,0.0005611,0.0005611
135,1641.71,0.46731,0.35096,0.88289,0.9843,0.90694,0.94032,0.85919,0.46332,0.37086,0.85522,0.0005578,0.0005578,0.0005578
136,1651.52,0.46239,0.3521,0.88274,0.98593,0.89709,0.93505,0.85755,0.44116,0.36821,0.85366,0.0005545,0.0005545,0.0005545
137,1662.19,0.47458,0.35712,0.88597,0.98989,0.8977,0.93749,0.85576,0.44806,0.3983,0.84717,0.0005512,0.0005512,0.0005512
138,1671.99,0.47386,0.36048,0.88594,0.96877,0.90374,0.93501,0.84777,0.473,0.43415,0.87239,0.0005479,0.0005479,0.0005479
139,1681.64,0.47585,0.3517,0.88383,0.9741,0.89711,0.93291,0.85523,0.47401,0.42511,0.86672,0.0005446,0.0005446,0.0005446
140,1691.83,0.46176,0.35054,0.88403,0.97397,0.89904,0.92608,0.8473,0.46432,0.41897,0.8687,0.0005413,0.0005413,0.0005413
141,1702.11,0.46888,0.36373,0.88175,0.99868,0.88474,0.92668,0.84207,0.47887,0.41709,0.87449,0.000538,0.000538,0.000538
142,1712.31,0.45194,0.35056,0.87951,0.97948,0.91301,0.93298,0.85765,0.45361,0.38023,0.86,0.0005347,0.0005347,0.0005347
143,1722.43,0.46012,0.35479,0.87961,0.99832,0.903,0.94172,0.86002,0.43289,0.38386,0.84824,0.0005314,0.0005314,0.0005314
144,1734.01,0.45921,0.34946,0.8829,0.99977,0.89734,0.93443,0.86878,0.42496,0.37913,0.84914,0.0005281,0.0005281,0.0005281
145,1745.45,0.46553,0.35055,0.88433,0.99812,0.89352,0.93517,0.85802,0.44248,0.38225,0.84984,0.0005248,0.0005248,0.0005248
146,1757.63,0.46038,0.35061,0.88077,0.98889,0.92141,0.94356,0.87682,0.42124,0.35329,0.852,0.0005215,0.0005215,0.0005215
147,1769.11,0.45212,0.35196,0.87662,0.95938,0.92279,0.94072,0.87024,0.44024,0.35549,0.86721,0.0005182,0.0005182,0.0005182
148,1780.16,0.45919,0.34644,0.8853,0.97341,0.88905,0.93678,0.86283,0.44211,0.37028,0.85594,0.0005149,0.0005149,0.0005149
149,1791.82,0.45021,0.34686,0.87158,0.98557,0.89886,0.93951,0.86889,0.43935,0.34686,0.85641,0.0005116,0.0005116,0.0005116
150,1803.19,0.43284,0.3358,0.86803,0.96969,0.91171,0.93848,0.85965,0.44976,0.36752,0.86161,0.0005083,0.0005083,0.0005083
151,1814.23,0.43744,0.33274,0.87514,0.97231,0.90071,0.93446,0.85422,0.43918,0.36761,0.85,0.000505,0.000505,0.000505
152,1825.85,0.44417,0.33067,0.87458,0.9826,0.89191,0.92728,0.84917,0.454,0.39019,0.87122,0.0005017,0.0005017,0.0005017
153,1836.95,0.46738,0.35515,0.88499,0.99104,0.89513,0.93865,0.85743,0.46717,0.38555,0.8705,0.0004984,0.0004984,0.0004984
154,1848.06,0.44771,0.34917,0.87053,0.96815,0.89004,0.93772,0.85725,0.45975,0.37939,0.87398,0.0004951,0.0004951,0.0004951
155,1859.09,0.46656,0.35566,0.88669,0.97873,0.88807,0.93554,0.85682,0.4486,0.38146,0.85765,0.0004918,0.0004918,0.0004918
156,1870.19,0.44054,0.34264,0.87247,0.97437,0.89259,0.93682,0.85968,0.4423,0.36653,0.85951,0.0004885,0.0004885,0.0004885
157,1881.09,0.45853,0.35195,0.88141,0.98761,0.88982,0.93624,0.86142,0.43136,0.38598,0.8494,0.0004852,0.0004852,0.0004852
158,1892.17,0.43856,0.3403,0.88131,0.96536,0.91207,0.93276,0.85036,0.4307,0.39234,0.85267,0.0004819,0.0004819,0.0004819
159,1903.44,0.4406,0.33433,0.87271,0.98731,0.89897,0.93219,0.8629,0.42403,0.38625,0.8513,0.0004786,0.0004786,0.0004786
160,1914.06,0.43766,0.34006,0.8707,0.98348,0.89955,0.92433,0.84237,0.44251,0.37945,0.87916,0.0004753,0.0004753,0.0004753
161,1925.1,0.43743,0.33399,0.87598,0.97181,0.91084,0.93131,0.85654,0.44117,0.38389,0.86599,0.000472,0.000472,0.000472
162,1935.94,0.46046,0.35895,0.88629,0.99158,0.90879,0.93661,0.86097,0.45851,0.37397,0.87705,0.0004687,0.0004687,0.0004687
163,1947.73,0.44275,0.33758,0.87896,0.98833,0.89526,0.93163,0.853,0.43055,0.36572,0.86065,0.0004654,0.0004654,0.0004654
164,1958.3,0.43828,0.3412,0.8618,0.97296,0.91362,0.93899,0.86744,0.43534,0.3748,0.85987,0.0004621,0.0004621,0.0004621
165,1969.13,0.44678,0.3368,0.87886,0.98988,0.90348,0.93667,0.8573,0.42552,0.36653,0.86128,0.0004588,0.0004588,0.0004588
166,1979.23,0.44161,0.33281,0.87336,0.99206,0.91301,0.93977,0.85793,0.44462,0.35893,0.87469,0.0004555,0.0004555,0.0004555
167,1989.91,0.44722,0.32853,0.88093,0.99532,0.90879,0.94269,0.87035,0.44067,0.35593,0.85995,0.0004522,0.0004522,0.0004522
168,2001.06,0.43461,0.33422,0.86964,0.98727,0.90114,0.93712,0.85861,0.45106,0.36881,0.85965,0.0004489,0.0004489,0.0004489
169,2011.75,0.46292,0.3523,0.88757,0.9763,0.90879,0.94038,0.85758,0.46339,0.37542,0.87997,0.0004456,0.0004456,0.0004456
170,2023.34,0.43439,0.33304,0.86814,0.97928,0.89848,0.93904,0.86683,0.41574,0.35098,0.84993,0.0004423,0.0004423,0.0004423
171,2034.21,0.42474,0.33002,0.86681,0.99333,0.88216,0.9371,0.85912,0.43627,0.35684,0.8549,0.000439,0.000439,0.000439
172,2044.46,0.42596,0.31429,0.8704,0.98541,0.90883,0.94286,0.87098,0.44256,0.37018,0.85834,0.0004357,0.0004357,0.0004357
173,2055.08,0.42627,0.32237,0.86593,0.97899,0.91723,0.94251,0.87118,0.44084,0.33546,0.85005,0.0004324,0.0004324,0.0004324
174,2065.03,0.42362,0.32088,0.8678,0.99254,0.90009,0.94625,0.87613,0.43452,0.33748,0.85452,0.0004291,0.0004291,0.0004291
